file,status,part_type,confidence,confidence_source,rule_version,graph2d_label,graph2d_confidence,graph2d_temperature,graph2d_temperature_source,graph2d_is_drawing_type,graph2d_ensemble_enabled,graph2d_ensemble_size,graph2d_voting,filename_label,filename_confidence,filename_match_type,filename_extracted_name,hybrid_label,hybrid_confidence,hybrid_source,hybrid_path,titleblock_label,titleblock_confidence,titleblock_part_name,titleblock_drawing_number,titleblock_material,titleblock_raw_texts_count,titleblock_region_entities_count,fusion_label,fusion_confidence,soft_override_eligible,soft_override_label,soft_override_confidence,soft_override_threshold,soft_override_reason
J1424042-51-01-08对接法兰v2.dxf,ok,对接法兰,0.950,hybrid,HybridClassifier-v1,,,,,,,,,对接法兰,0.95,exact,对接法兰,对接法兰,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0225047-04罐体部分v3.dxf,ok,挡板,0.900,fusion,L2-Fusion-v1,,,,,,,,,罐体部分,0.95,exact,罐体部分,罐体部分,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
LTJ012303106-0001超声波法兰v2.dxf,ok,超声波法兰,0.950,hybrid,HybridClassifier-v1,,,,,,,,,超声波法兰,0.95,exact,超声波法兰,超声波法兰,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J2925001-01-01人孔法兰v1.dxf,ok,人孔法兰,0.950,hybrid,HybridClassifier-v1,,,,,,,,,人孔法兰,0.95,exact,人孔法兰,人孔法兰,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J2925001-01人孔v1.dxf,ok,人孔,0.950,hybrid,HybridClassifier-v1,,,,,,,,,人孔,0.95,exact,人孔,人孔,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
BTJ01231201522-00拖车DN1500v1.dxf,ok,complex_assembly,0.550,rules,v1,,,,,,,,,拖车,0.5,partial_low,拖车DN1500,拖车,0.35,fusion,filename_extracted;process_predicted;fusion_scored,,,,,,,,,,,,,,
J0724006-05上封头组件v1.dxf,ok,机械制图,0.900,fusion,L2-Fusion-v1,,,,,,,,,上封头组件,0.95,exact,上封头组件,上封头组件,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0224071-11-02过滤芯组件v1.dxf,ok,机械制图,0.900,fusion,L2-Fusion-v1,,,,,,,,,过滤芯组件,0.95,exact,过滤芯组件,过滤芯组件,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J2824002-06上封头组件v2.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,,,,,,,,,上封头组件,0.95,exact,上封头组件,上封头组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
BTJ02230301120-03保护罩组件v2.dxf,ok,罩,0.900,fusion,L2-Fusion-v1,,,,,,,,,保护罩组件,0.95,exact,保护罩组件,保护罩组件,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
LTJ012306102-0084调节螺栓v1.dxf,ok,调节螺栓,0.950,hybrid,HybridClassifier-v1,,,,,,,,,调节螺栓,0.95,exact,调节螺栓,调节螺栓,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
BTJ01232801522-01电加热箱v1.dxf,ok,箱体,0.900,fusion,L2-Fusion-v1,,,,,,,,,电加热箱,0.95,exact,电加热箱,电加热箱,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J2825002-09下轴承支架组件v2.dxf,ok,轴承,0.900,fusion,L2-Fusion-v1,,,,,,,,,下轴承支架组件,0.95,exact,下轴承支架组件,下轴承支架组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J2825002-06上筒体组件v2.dxf,ok,上筒体组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,上筒体组件,0.95,exact,上筒体组件,上筒体组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0225047-04罐体部分v1.dxf,ok,挡板,0.900,fusion,L2-Fusion-v1,,,,,,,,,罐体部分,0.95,exact,罐体部分,罐体部分,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J1424042-00出料正压隔离器v2-yuantus.dxf,ok,挡板,0.900,fusion,L2-Fusion-v1,,,,,,,,,,0.0,no_match,yuantus,零件图,0.06499999999999999,fusion,filename_extracted;process_predicted;fusion_scored,,,,,,,,,,,,,,
BTJ01239601522-03扭转弹簧v1.dxf,ok,扭转弹簧,0.950,hybrid,HybridClassifier-v1,,,,,,,,,扭转弹簧,0.95,exact,扭转弹簧,扭转弹簧,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0724006-02搅拌器组件v2.dxf,ok,机械制图,1.000,fusion,L2-Fusion-v1,,,,,,,,,搅拌器组件,0.95,exact,搅拌器组件,搅拌器组件,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0225048-02-07侧推料组件v2.dxf,ok,侧推料组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,侧推料组件,0.95,exact,侧推料组件,侧推料组件,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0225009-04-03阀体v1.dxf,ok,阀体,0.950,hybrid,HybridClassifier-v1,,,,,,,,,阀体,0.95,exact,阀体,阀体,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J2825002-06上筒体组件v1.dxf,ok,上筒体组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,上筒体组件,0.95,exact,上筒体组件,上筒体组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0225054-15-01支承座v2.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,,,,,,,,,支承座,0.95,exact,支承座,支承座,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
LTJ012303106-0030连接法兰(大)v1.dxf,ok,连接法兰(大),0.950,hybrid,HybridClassifier-v1,,,,,,,,,连接法兰(大),0.95,exact,连接法兰(大),连接法兰(大),0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0225004-04搅拌桨组件v2.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,,,,,,,,,搅拌桨组件,0.95,exact,搅拌桨组件,搅拌桨组件,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
BTJ01231501522-00短轴承座(盖)v2.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,,,,,,,,,短轴承座(盖),0.95,exact,短轴承座(盖),短轴承座(盖),0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0225054-15-01支承座v1.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,,,,,,,,,支承座,0.95,exact,支承座,支承座,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0225004-04-04轴头组件v2.dxf,ok,轴头组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,轴头组件,0.95,exact,轴头组件,轴头组件,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0224025-06-01-03出料凸缘v2.dxf,ok,出料凸缘,0.950,hybrid,HybridClassifier-v1,,,,,,,,,出料凸缘,0.95,exact,出料凸缘,出料凸缘,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
BTJ01231301522-00蜗轮蜗杆传动出料机构v2.dxf,ok,蜗杆,0.900,fusion,L2-Fusion-v1,,,,,,,,,蜗轮蜗杆传动出料机构,0.95,exact,蜗轮蜗杆传动出料机构,蜗轮蜗杆传动出料机构,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0225004-08搅拌轴组件v2.dxf,ok,旋转组件,0.900,fusion,L2-Fusion-v1,,,,,,,,,搅拌轴组件,0.95,exact,搅拌轴组件,搅拌轴组件,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
LTJ012303106-0001超声波法兰.dxf,ok,超声波法兰,0.950,hybrid,HybridClassifier-v1,,,,,,,,,超声波法兰,0.95,exact,超声波法兰,超声波法兰,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J1424042-51-01-08对接法兰v1.dxf,ok,对接法兰,0.950,hybrid,HybridClassifier-v1,,,,,,,,,对接法兰,0.95,exact,对接法兰,对接法兰,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J2825003-05下筒体组件v1.dxf,ok,下筒体组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,下筒体组件,0.95,exact,下筒体组件,下筒体组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0225001-09-04旋转组件v2.dxf,ok,旋转组件,1.000,fusion,L2-Fusion-v1,,,,,,,,,旋转组件,0.95,exact,旋转组件,旋转组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
