file,status,part_type,confidence,confidence_source,rule_version,graph2d_label,graph2d_confidence,fusion_label,fusion_confidence,soft_override_eligible,soft_override_label,soft_override_confidence,soft_override_threshold,soft_override_reason
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2825002-06上筒体组件v2.dxf,ok,complex_assembly,0.550,rules,v1,罐体,0.1630297154188156,Standard_Part,0.55,False,罐体,0.1630297154188156,0.17,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231201522-00拖车DN1500v2.dxf,ok,complex_assembly,0.550,rules,v1,设备,0.17079490423202515,Standard_Part,0.55,True,设备,0.17079490423202515,0.17,eligible
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225004-08搅拌轴组件v1.dxf,ok,旋转组件,0.900,fusion,L2-Fusion-v1,传动件,0.16612759232521057,Standard_Part,0.55,False,传动件,0.16612759232521057,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J1424042-00出料正压隔离器v1.dxf,ok,挡板,0.900,fusion,L2-Fusion-v1,设备,0.16722269356250763,Standard_Part,0.6000000000000001,False,设备,0.16722269356250763,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231101522-00自动进料装置v1.dxf,ok,complex_assembly,0.550,rules,v1,传动件,0.16855575144290924,Standard_Part,0.6000000000000001,False,传动件,0.16855575144290924,0.17,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225048-02-07侧推料组件v1.dxf,ok,complex_assembly,0.550,rules,v1,传动件,0.18196788430213928,Standard_Part,0.55,True,传动件,0.18196788430213928,0.17,eligible
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J1424042-51-01-08对接法兰v2.dxf,ok,moderate_component,0.600,rules,v1,传动件,0.17358630895614624,Standard_Part,0.55,True,传动件,0.17358630895614624,0.17,eligible
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2825002-06上筒体组件v1.dxf,ok,complex_assembly,0.550,rules,v1,罐体,0.16302818059921265,Standard_Part,0.55,False,罐体,0.16302818059921265,0.17,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J1424042-00出料正压隔离器v2-yuantus.dxf,ok,挡板,0.900,fusion,L2-Fusion-v1,设备,0.16722269356250763,Standard_Part,0.6000000000000001,False,设备,0.16722269356250763,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224071-11捕集器组件v1.dxf,ok,complex_assembly,0.550,rules,v1,传动件,0.16962319612503052,Standard_Part,0.55,False,传动件,0.16962319612503052,0.17,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/比较_LTJ012306102-0084调节螺栓v1 vs LTJ012306102-0084调节螺栓v2.dxf,ok,moderate_component,0.600,rules,v1,传动件,0.169523224234581,Standard_Part,0.55,False,传动件,0.169523224234581,0.17,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225047-04罐体部分v1.dxf,ok,挡板,0.900,fusion,L2-Fusion-v1,罐体,0.16150438785552979,Standard_Part,0.6000000000000001,False,罐体,0.16150438785552979,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225047-04罐体部分v2.dxf,ok,挡板,0.900,fusion,L2-Fusion-v1,罐体,0.16150438785552979,Standard_Part,0.6000000000000001,False,罐体,0.16150438785552979,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225034-05罐体部分v1.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,罐体,0.18720898032188416,Standard_Part,0.6000000000000001,False,罐体,0.18720898032188416,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2825003-05下筒体组件v1.dxf,ok,complex_assembly,0.550,rules,v1,罐体,0.17467068135738373,Standard_Part,0.55,True,罐体,0.17467068135738373,0.17,eligible
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J3025001-12轴承座v2.dxf,ok,轴承,0.900,fusion,L2-Fusion-v1,传动件,0.1709611713886261,Standard_Part,0.55,False,传动件,0.1709611713886261,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-05上封头组件v1.dxf,ok,机械制图,0.900,fusion,L2-Fusion-v1,传动件,0.16796813905239105,Standard_Part,0.6000000000000001,False,传动件,0.16796813905239105,0.17,confidence_source_not_rules
