file,status,part_type,confidence,confidence_source,rule_version,graph2d_label,graph2d_confidence,graph2d_temperature,graph2d_temperature_source,graph2d_is_drawing_type,graph2d_ensemble_enabled,graph2d_ensemble_size,graph2d_voting,filename_label,filename_confidence,filename_match_type,filename_extracted_name,hybrid_label,hybrid_confidence,hybrid_source,hybrid_path,titleblock_label,titleblock_confidence,titleblock_status,titleblock_part_name,titleblock_drawing_number,titleblock_material,titleblock_raw_texts_count,titleblock_region_entities_count,fusion_label,fusion_confidence,soft_override_eligible,soft_override_label,soft_override_confidence,soft_override_threshold,soft_override_reason
LTJ012303106-0001超声波法兰.dxf,ok,超声波法兰,0.950,hybrid,HybridClassifier-v1,机械制图,0.3152448832988739,1.0,,True,False,,,超声波法兰,0.95,exact,超声波法兰,超声波法兰,0.95,filename,filename_extracted;titleblock_predicted;process_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,超声波法兰,0.85,matched,超声波法兰,LTJ012303106-0001,S31603Ⅱ,8,8,Standard_Part,0.55,False,机械制图,0.3152448832988739,0.17,graph2d_drawing_type
LTJ012303106-0030连接法兰(大)v2.dxf,ok,连接法兰(大),0.950,hybrid,HybridClassifier-v1,机械制图,0.31619858741760254,1.0,,True,False,,,连接法兰(大),0.95,exact,连接法兰(大),连接法兰(大),0.95,filename,filename_extracted;titleblock_predicted;process_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,连接法兰(大),0.85,matched,连接法兰(大),LTJ012303106-0030,S31603Ⅱ,8,8,Standard_Part,0.55,False,机械制图,0.31619858741760254,0.17,graph2d_drawing_type
J2925001-00再沸器v1.dxf,ok,再沸器,0.950,hybrid,HybridClassifier-v1,装配图,0.8976513743400574,1.0,,True,False,,,再沸器,0.95,exact,再沸器,再沸器,0.95,filename,filename_extracted;titleblock_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,再沸器,0.85,matched,再沸器,J2925001-00,S30408,183,183,Standard_Part,0.6000000000000001,False,装配图,0.8976513743400574,0.17,graph2d_drawing_type
J2925001-05管束v1.dxf,ok,管束,0.950,hybrid,HybridClassifier-v1,装配图,0.4600054621696472,1.0,,True,False,,,管束,0.95,exact,管束,管束,0.95,filename,filename_extracted;titleblock_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,管束,0.85,matched,管束,J2925001-05,S30408,106,106,Standard_Part,0.6000000000000001,False,装配图,0.4600054621696472,0.17,graph2d_drawing_type
J0224036-10搅拌减速机机罩v1.dxf,ok,罩,0.900,fusion,L2-Fusion-v1,机械制图,0.28446778655052185,1.0,,True,False,,,搅拌减速机机罩,0.95,exact,搅拌减速机机罩,搅拌减速机机罩,0.95,filename,filename_extracted;titleblock_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,搅拌减速机机罩,0.85,matched,搅拌减速机机罩,J0224036-10,组合件,62,62,Standard_Part,0.55,False,机械制图,0.28446778655052185,0.17,confidence_source_not_rules
J0224025-06-01-03出料凸缘v1.dxf,ok,出料凸缘,0.950,hybrid,HybridClassifier-v1,机械制图,0.3100627064704895,1.0,,True,False,,,出料凸缘,0.95,exact,出料凸缘,出料凸缘,0.95,filename,filename_extracted;titleblock_predicted;process_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,出料凸缘,0.85,matched,出料凸缘,J0224025-06-01-03,组焊件,12,12,Standard_Part,0.55,False,机械制图,0.3100627064704895,0.17,graph2d_drawing_type
BTJ01239901522-00拖轮组件v1.dxf,ok,拖轮组件,0.950,hybrid,HybridClassifier-v1,机械制图,0.278091698884964,1.0,,True,False,,,拖轮组件,0.95,exact,拖轮组件,拖轮组件,0.95,filename,filename_extracted;titleblock_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,拖轮组件,0.85,matched,拖轮组件,BTJ01239901522-00,组件,48,48,Standard_Part,0.55,False,机械制图,0.278091698884964,0.17,graph2d_drawing_type
J0724006-01下锥体组件v2.dxf,ok,下锥体组件,0.950,hybrid,HybridClassifier-v1,装配图,0.36836403608322144,1.0,,True,False,,,下锥体组件,0.95,exact,下锥体组件,下锥体组件,0.95,filename,filename_extracted;titleblock_predicted;process_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,下锥体组件,0.85,matched,下锥体组件,J0724006-01,组合件,66,66,Standard_Part,0.55,False,装配图,0.36836403608322144,0.17,confidence_source_not_rules
J2925001-00再沸器v2.dxf,ok,再沸器,0.950,hybrid,HybridClassifier-v1,装配图,0.8973144888877869,1.0,,True,False,,,再沸器,0.95,exact,再沸器,再沸器,0.95,filename,filename_extracted;titleblock_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,再沸器,0.85,matched,再沸器,J2925001-00,S30408,184,184,Standard_Part,0.6000000000000001,False,装配图,0.8973144888877869,0.17,graph2d_drawing_type
J2824002-06上封头组件v1.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,机械制图,0.31642577052116394,1.0,,True,False,,,上封头组件,0.95,exact,上封头组件,上封头组件,0.95,filename,filename_extracted;titleblock_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,上封头组件,0.85,matched,上封头组件,J2824002-06,组合件,69,69,Standard_Part,0.55,False,机械制图,0.31642577052116394,0.17,confidence_source_not_rules
J0225004-04-05下封板v1.dxf,ok,下封板,0.950,hybrid,HybridClassifier-v1,零件图,0.26637306809425354,1.0,,True,False,,,下封板,0.95,exact,下封板,下封板,0.95,filename,filename_extracted;titleblock_predicted;process_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,下封板,0.85,matched,下封板,J0225004-04-05,TA2,9,9,Standard_Part,0.55,False,零件图,0.26637306809425354,0.17,graph2d_drawing_type
J2825002-06上筒体组件v2.dxf,ok,上筒体组件,0.950,hybrid,HybridClassifier-v1,机械制图,0.293935090303421,1.0,,True,False,,,上筒体组件,0.95,exact,上筒体组件,上筒体组件,0.95,filename,filename_extracted;titleblock_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,上筒体组件,0.85,matched,上筒体组件,J2825002-06,组合件,39,39,Standard_Part,0.55,False,机械制图,0.293935090303421,0.17,graph2d_drawing_type
BTJ01231201522-00拖车DN1500v2.dxf,ok,拖车,0.950,hybrid,HybridClassifier-v1,机械制图,0.30969884991645813,1.0,,True,False,,,拖车,0.95,exact,拖车,拖车,0.95,filename,filename_extracted;titleblock_predicted;process_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,拖车,0.6,partial_match,拖车DN1500,BTJ01231201522-00,组合件,43,43,Standard_Part,0.55,False,机械制图,0.30969884991645813,0.17,graph2d_drawing_type
J0225004-08搅拌轴组件v1.dxf,ok,旋转组件,0.900,fusion,L2-Fusion-v1,机械制图,0.3324357569217682,1.0,,True,False,,,搅拌轴组件,0.95,exact,搅拌轴组件,搅拌轴组件,0.95,filename,filename_extracted;titleblock_predicted;process_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,搅拌轴组件,0.85,matched,搅拌轴组件,J0225004-08,组合件,51,51,Standard_Part,0.55,False,机械制图,0.3324357569217682,0.17,confidence_source_not_rules
J1424042-00出料正压隔离器v1.dxf,ok,挡板,0.900,fusion,L2-Fusion-v1,机械制图,0.33489638566970825,1.0,,True,False,,,出料正压隔离器,0.95,exact,出料正压隔离器,出料正压隔离器,0.95,filename,filename_extracted;titleblock_predicted;process_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,出料正压隔离器,0.85,matched,出料正压隔离器,J1424042-00,组合件,26,26,Standard_Part,0.6000000000000001,False,机械制图,0.33489638566970825,0.17,confidence_source_not_rules
BTJ01231101522-00自动进料装置v1.dxf,ok,自动进料装置,0.950,hybrid,HybridClassifier-v1,机械制图,0.283866286277771,1.0,,True,False,,,自动进料装置,0.95,exact,自动进料装置,自动进料装置,0.95,filename,filename_extracted;titleblock_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,自动进料装置,0.85,matched,自动进料装置,BTJ01231101522-00,组合件,80,80,Standard_Part,0.6000000000000001,False,机械制图,0.283866286277771,0.17,graph2d_drawing_type
J0225048-02-07侧推料组件v1.dxf,ok,侧推料组件,0.950,hybrid,HybridClassifier-v1,机械制图,0.3103640675544739,1.0,,True,False,,,侧推料组件,0.95,exact,侧推料组件,侧推料组件,0.95,filename,filename_extracted;titleblock_predicted;process_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,侧推料组件,0.85,matched,侧推料组件,J0225048-02-07,组合件,86,86,Standard_Part,0.55,False,机械制图,0.3103640675544739,0.17,graph2d_drawing_type
J1424042-51-01-08对接法兰v2.dxf,ok,对接法兰,0.950,hybrid,HybridClassifier-v1,机械制图,0.3416507840156555,1.0,,True,False,,,对接法兰,0.95,exact,对接法兰,对接法兰,0.95,filename,filename_extracted;titleblock_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,对接法兰,0.85,matched,对接法兰,J1424042-51-01-08,S31603,7,7,Standard_Part,0.55,False,机械制图,0.3416507840156555,0.17,graph2d_drawing_type
