file,cleaned_label,augmented_label,cleaned_confidence,augmented_confidence
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2825003-05下筒体组件v1.dxf,传动件,罐体,0.16892817616462708,0.17467068135738373
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J3025001-12轴承座v2.dxf,传动件,传动件,0.1774151772260666,0.1709611713886261
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-05上封头组件v1.dxf,传动件,传动件,0.1721763163805008,0.16796813905239105
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231301522-00蜗轮蜗杆传动出料机构v1.dxf,传动件,传动件,0.16631469130516052,0.16052380204200745
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225001-09-04旋转组件v2.dxf,传动件,传动件,0.19447572529315948,0.1879260390996933
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ02230301120-03保护罩组件v2.dxf,传动件,罐体,0.16980984807014465,0.16514308750629425
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ14240301522-00防爆视灯组件v2.dxf,设备,罐体,0.15408271551132202,0.15764811635017395
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01230901522-00汽水分离器v1.dxf,设备,设备,0.16438499093055725,0.1643086075782776
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225054-15罐体支腿v2.dxf,传动件,传动件,0.18209630250930786,0.17426903545856476
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224071-11-02过滤芯组件v1.dxf,传动件,传动件,0.18248730897903442,0.177311971783638
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224070-04-07捕集口v2.dxf,传动件,传动件,0.17720255255699158,0.16953609883785248
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225009-04-03阀体v1.dxf,传动件,传动件,0.17024536430835724,0.16415365040302277
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0525002-04-02过滤托架v2.dxf,传动件,传动件,0.17493124306201935,0.1689451038837433
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231101522-00自动进料装置v2.dxf,传动件,传动件,0.17459173500537872,0.16855575144290924
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-02搅拌器组件v1.dxf,传动件,传动件,0.17082053422927856,0.1639578938484192
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2824002-06上封头组件v2.dxf,传动件,设备,0.16919666528701782,0.16460609436035156
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/LTJ012306102-0084调节螺栓v1.dxf,传动件,传动件,0.1749850958585739,0.16923317313194275
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224036-12真空组件v1.dxf,传动件,传动件,0.175741046667099,0.16823501884937286
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01232801522-01电加热箱v2.dxf,传动件,传动件,0.18580427765846252,0.17848335206508636
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2925001-05管束v2.dxf,传动件,传动件,0.1692141592502594,0.1625399887561798
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2825002-09下轴承支架组件v1.dxf,传动件,传动件,0.17359651625156403,0.16802701354026794
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224036-12真空组件v2.dxf,传动件,传动件,0.17646090686321259,0.1686321198940277
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-01下锥体组件v1.dxf,传动件,罐体,0.17010797560214996,0.16706183552742004
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J3025001-12轴承座v1.dxf,传动件,传动件,0.1774381697177887,0.1709793657064438
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225004-04搅拌桨组件v1.dxf,传动件,传动件,0.18897037208080292,0.1853870153427124
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01239601522-03扭转弹簧v1.dxf,传动件,传动件,0.1734861433506012,0.1658582091331482
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/LTJ012306102-0084调节螺栓v2.dxf,传动件,传动件,0.17159967124462128,0.16627469658851624
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224036-10搅拌减速机机罩v2.dxf,传动件,传动件,0.1779264658689499,0.17235085368156433
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2925004-04-01底板v2.dxf,传动件,传动件,0.18401241302490234,0.17857027053833008
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225034-05罐体部分v2.dxf,罐体,罐体,0.1757885366678238,0.18720898032188416
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0525002-04-02过滤托架v4.dxf,传动件,传动件,0.17628008127212524,0.1702941656112671
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231301522-01轴向定位轴承v1.dxf,传动件,传动件,0.18028557300567627,0.1736927181482315
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/LTJ012303106-0030连接法兰(大)v1.dxf,传动件,罐体,0.17193183302879333,0.1652754843235016
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/LTJ012303106-0001超声波法兰v1.dxf,传动件,罐体,0.16671042144298553,0.17178750038146973
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231201522-00拖车DN1500v1.dxf,传动件,设备,0.17054399847984314,0.17079490423202515
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224014-09液压开盖组件v2.dxf,传动件,传动件,0.17624127864837646,0.17038673162460327
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231301522-00蜗轮蜗杆传动出料机构v2.dxf,传动件,传动件,0.16631469130516052,0.16052380204200745
