combo_index,status,total_lines_delta,total_circles_delta,total_arcs_delta,avg_ink_ratio_delta,avg_components_delta
1,ok,-386,-114,0,0.0,-5.0
2,ok,-386,-114,0,0.0,-5.0
3,ok,-386,-114,-4,0.0,-5.04
4,ok,-386,-114,-4,0.0,-5.04
