combo_index,status,sample,lines_delta,circles_delta,arcs_delta,ink_ratio_delta,components_delta,thresholds
1,ok,BTJ14240301522-00防爆视灯组件v1__4e552f9c.png,-7,-3,0,0.0,-10,"arc_fill_min=0.08, circle_fill_min=0.4, line_aspect=6.0, line_elongation=8.0, min_area=24.0"
1,ok,BTJ14240301522-00防爆视灯组件v2__17e347e5.png,-7,-3,0,0.0,-10,"arc_fill_min=0.08, circle_fill_min=0.4, line_aspect=6.0, line_elongation=8.0, min_area=24.0"
1,ok,J0224014-09液压开盖组件v1__6286fef0.png,-5,-4,0,0.0,-9,"arc_fill_min=0.08, circle_fill_min=0.4, line_aspect=6.0, line_elongation=8.0, min_area=24.0"
1,ok,J0224014-09液压开盖组件v2__e202134c.png,-5,-4,0,0.0,-9,"arc_fill_min=0.08, circle_fill_min=0.4, line_aspect=6.0, line_elongation=8.0, min_area=24.0"
1,ok,BTJ01230901522-00汽水分离器v1__f36cd05a.png,-5,-3,0,0.0,-8,"arc_fill_min=0.08, circle_fill_min=0.4, line_aspect=6.0, line_elongation=8.0, min_area=24.0"
