input_path,dxf_path,png_path,geom_json_path,index_success,index_drawing_id,index_file_hash,search_status,search_success,total_matches,duplicate_count,similar_count,final_level,timing_total_ms,error
/app/data/dedupcad_batch/input/BTJ01239601522-03扭转弹簧v1.dxf,/app/data/dedupcad_batch/input/BTJ01239601522-03扭转弹簧v1.dxf,/app/data/dedupcad_batch/work/BTJ01239601522-03扭转弹簧v1.png,/app/data/dedupcad_batch/work/BTJ01239601522-03扭转弹簧v1.v2.json,,,,completed,True,1,0,1,4,244.52148820273578,
/app/data/dedupcad_batch/input/BTJ01239601522-03扭转弹簧v2.dxf,/app/data/dedupcad_batch/input/BTJ01239601522-03扭转弹簧v2.dxf,/app/data/dedupcad_batch/work/BTJ01239601522-03扭转弹簧v2.png,/app/data/dedupcad_batch/work/BTJ01239601522-03扭转弹簧v2.v2.json,,,,completed,True,1,1,0,4,226.99651442235336,
/app/data/dedupcad_batch/input/BTJ01239601522-03扭转弹簧v3.dxf,/app/data/dedupcad_batch/input/BTJ01239601522-03扭转弹簧v3.dxf,/app/data/dedupcad_batch/work/BTJ01239601522-03扭转弹簧v3.png,/app/data/dedupcad_batch/work/BTJ01239601522-03扭转弹簧v3.v2.json,,,,completed,True,1,1,0,4,232.7156657120213,
/app/data/dedupcad_batch/input/BTJ01239901522-00拖轮组件v1.dxf,/app/data/dedupcad_batch/input/BTJ01239901522-00拖轮组件v1.dxf,/app/data/dedupcad_batch/work/BTJ01239901522-00拖轮组件v1.png,/app/data/dedupcad_batch/work/BTJ01239901522-00拖轮组件v1.v2.json,,,,completed,True,2,2,0,4,274.8306965804659,
/app/data/dedupcad_batch/input/BTJ01239901522-00拖轮组件v2.dxf,/app/data/dedupcad_batch/input/BTJ01239901522-00拖轮组件v2.dxf,/app/data/dedupcad_batch/work/BTJ01239901522-00拖轮组件v2.png,/app/data/dedupcad_batch/work/BTJ01239901522-00拖轮组件v2.v2.json,,,,completed,True,2,2,0,4,263.84861185215414,
/app/data/dedupcad_batch/input/BTJ02230101102-12手轮组件v1.dxf,/app/data/dedupcad_batch/input/BTJ02230101102-12手轮组件v1.dxf,/app/data/dedupcad_batch/work/BTJ02230101102-12手轮组件v1.png,/app/data/dedupcad_batch/work/BTJ02230101102-12手轮组件v1.v2.json,,,,completed,True,2,1,1,4,205.114854790736,
/app/data/dedupcad_batch/input/BTJ02230101102-12手轮组件v2.dxf,/app/data/dedupcad_batch/input/BTJ02230101102-12手轮组件v2.dxf,/app/data/dedupcad_batch/work/BTJ02230101102-12手轮组件v2.png,/app/data/dedupcad_batch/work/BTJ02230101102-12手轮组件v2.v2.json,,,,completed,True,2,1,1,4,216.36847802437842,
/app/data/dedupcad_batch/input/BTJ02230301120-03保护罩组件v1.dxf,/app/data/dedupcad_batch/input/BTJ02230301120-03保护罩组件v1.dxf,/app/data/dedupcad_batch/work/BTJ02230301120-03保护罩组件v1.png,/app/data/dedupcad_batch/work/BTJ02230301120-03保护罩组件v1.v2.json,,,,completed,True,2,2,0,4,203.25105666415766,
/app/data/dedupcad_batch/input/BTJ02230301120-03保护罩组件v2.dxf,/app/data/dedupcad_batch/input/BTJ02230301120-03保护罩组件v2.dxf,/app/data/dedupcad_batch/work/BTJ02230301120-03保护罩组件v2.png,/app/data/dedupcad_batch/work/BTJ02230301120-03保护罩组件v2.v2.json,,,,completed,True,2,2,0,4,227.08407556638122,
/app/data/dedupcad_batch/input/BTJ14240301522-00防爆视灯组件v1.dxf,/app/data/dedupcad_batch/input/BTJ14240301522-00防爆视灯组件v1.dxf,/app/data/dedupcad_batch/work/BTJ14240301522-00防爆视灯组件v1.png,/app/data/dedupcad_batch/work/BTJ14240301522-00防爆视灯组件v1.v2.json,,,,completed,True,2,2,0,4,6189.223822962958,
/app/data/dedupcad_batch/input/BTJ14240301522-00防爆视灯组件v2.dxf,/app/data/dedupcad_batch/input/BTJ14240301522-00防爆视灯组件v2.dxf,/app/data/dedupcad_batch/work/BTJ14240301522-00防爆视灯组件v2.png,/app/data/dedupcad_batch/work/BTJ14240301522-00防爆视灯组件v2.v2.json,,,,completed,True,2,2,0,4,6109.806690481491,
/app/data/dedupcad_batch/input/J0224014-09液压开盖组件v1.dxf,/app/data/dedupcad_batch/input/J0224014-09液压开盖组件v1.dxf,/app/data/dedupcad_batch/work/J0224014-09液压开盖组件v1.png,/app/data/dedupcad_batch/work/J0224014-09液压开盖组件v1.v2.json,,,,completed,True,2,2,0,4,451.42284606117755,
