combo_index,status,total_lines_delta,total_circles_delta,total_arcs_delta,avg_ink_ratio_delta,avg_components_delta
1,ok,-141,-35,0,0.0,-3.52
2,ok,-141,-35,0,0.0,-3.52
3,ok,-141,-35,0,0.0,-3.52
4,ok,-141,-35,0,0.0,-3.52
