combo_index,sample,lines,circles,arcs,ink_ratio,components
1,BTJ01230901522-00汽水分离器v1.png,13,3,0,0.0238,16
1,BTJ01230901522-00汽水分离器v2.png,13,3,0,0.0238,16
1,BTJ01231101522-00自动进料装置v1.png,10,0,0,0.0157,10
1,BTJ01231101522-00自动进料装置v2.png,10,0,0,0.0157,10
1,BTJ01231201522-00拖车DN1500v1.png,2,3,0,0.008,5
