label,count,share,avg_confidence
complex_assembly,7,0.350,0.550
moderate_component,4,0.200,0.600
装配图,3,0.150,0.836
蜗杆,2,0.100,0.900
箱体,1,0.050,0.900
底板,1,0.050,0.900
盖,1,0.050,0.900
机械制图,1,0.050,0.900
