label,count,share,avg_confidence
complex_assembly,19,0.380,0.550
moderate_component,9,0.180,0.600
机械制图,5,0.100,0.900
挡板,4,0.080,0.900
罩,3,0.060,0.900
支腿,3,0.060,0.900
蜗杆,2,0.040,0.900
盖,2,0.040,0.900
旋转组件,2,0.040,0.950
轴承,1,0.020,0.900
