label,count,share,avg_confidence
complex_assembly,14,0.280,0.550
moderate_component,13,0.260,0.600
机械制图,8,0.160,0.913
盖,6,0.120,0.900
蜗杆,2,0.040,0.900
底板,2,0.040,0.900
轴承,2,0.040,0.900
箱体,1,0.020,0.900
支腿,1,0.020,0.900
罩,1,0.020,0.900
