file,status,part_type,confidence,confidence_source,rule_version,graph2d_label,graph2d_confidence,fusion_label,fusion_confidence
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0224036-10搅拌减速机机罩v1.dxf,ok,罩,0.900,fusion,L2-Fusion-v1,机械制图,0.3121391236782074,Standard_Part,0.55
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0224025-06-01-03出料凸缘v1.dxf,ok,complex_assembly,0.550,rules,v1,机械制图,0.34223419427871704,Standard_Part,0.55
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ01239901522-00拖轮组件v1.dxf,ok,moderate_component,0.600,rules,v1,机械制图,0.3867775499820709,Standard_Part,0.55
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0724006-01下锥体组件v2.dxf,ok,机械制图,0.900,fusion,L2-Fusion-v1,装配图,0.5433416366577148,Standard_Part,0.55
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J2925001-00再沸器v2.dxf,ok,装配图,0.983,fusion,FusionAnalyzer-v1.2,装配图,0.9825954437255859,装配图,0.9825954437255859
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J2824002-06上封头组件v1.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,机械制图,0.3854336738586426,Standard_Part,0.55
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225004-04-05下封板v1.dxf,ok,moderate_component,0.600,rules,v1,模板,0.31526729464530945,Standard_Part,0.55
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J2825002-06上筒体组件v2.dxf,ok,complex_assembly,0.550,rules,v1,机械制图,0.40043556690216064,Standard_Part,0.55
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ01231201522-00拖车DN1500v2.dxf,ok,complex_assembly,0.550,rules,v1,机械制图,0.32524600625038147,Standard_Part,0.55
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225004-08搅拌轴组件v1.dxf,ok,旋转组件,0.900,fusion,L2-Fusion-v1,零件图,0.35700228810310364,Standard_Part,0.55
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J1424042-00出料正压隔离器v1.dxf,ok,Standard_Part,0.600,fusion,FusionAnalyzer-v1.2,机械制图,0.38626086711883545,Standard_Part,0.6000000000000001
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ01231101522-00自动进料装置v1.dxf,ok,Standard_Part,0.600,fusion,FusionAnalyzer-v1.2,机械制图,0.2883303165435791,Standard_Part,0.6000000000000001
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225048-02-07侧推料组件v1.dxf,ok,complex_assembly,0.550,rules,v1,机械制图,0.37879249453544617,Standard_Part,0.55
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J1424042-51-01-08对接法兰v2.dxf,ok,moderate_component,0.600,rules,v1,机械制图,0.36798232793807983,Standard_Part,0.55
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J2825002-06上筒体组件v1.dxf,ok,complex_assembly,0.550,rules,v1,机械制图,0.4004421532154083,Standard_Part,0.55
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J1424042-00出料正压隔离器v2-yuantus.dxf,ok,Standard_Part,0.600,fusion,FusionAnalyzer-v1.2,机械制图,0.38626086711883545,Standard_Part,0.6000000000000001
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0224071-11捕集器组件v1.dxf,ok,complex_assembly,0.550,rules,v1,机械制图,0.3509248197078705,Standard_Part,0.55
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/比较_LTJ012306102-0084调节螺栓v1 vs LTJ012306102-0084调节螺栓v2.dxf,ok,moderate_component,0.600,rules,v1,零件图,0.31967398524284363,Standard_Part,0.55
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225047-04罐体部分v1.dxf,ok,Standard_Part,0.600,fusion,FusionAnalyzer-v1.2,机械制图,0.3299669325351715,Standard_Part,0.6000000000000001
