label_cn,total,correct,accuracy,top2_accuracy,share
设备,4,0,0.000,1.000,0.182
传动件,2,2,1.000,1.000,0.091
轴承件,4,0,0.000,0.000,0.182
弹簧,1,0,0.000,0.000,0.045
罩盖件,1,0,0.000,0.000,0.045
法兰,2,0,0.000,0.000,0.091
开孔件,2,0,0.000,0.000,0.091
过滤组件,1,0,0.000,0.000,0.045
罐体,4,0,0.000,0.500,0.182
紧固件,1,0,0.000,0.000,0.045
__overall__,22,2,0.091,0.364,1.000
