file_name,output_path,status,error,relative_path,source_dir
BTJ14240301522-00防爆视灯组件v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ14240301522-00防爆视灯组件v2.dxf,ok,,BTJ14240301522-00防爆视灯组件v2.dwg,训练图纸
J0224014-09液压开盖组件v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224014-09液压开盖组件v1.dxf,ok,,J0224014-09液压开盖组件v1.dwg,训练图纸
J0224014-09液压开盖组件v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224014-09液压开盖组件v2.dxf,ok,,J0224014-09液压开盖组件v2.dwg,训练图纸
J0224025-06-01-03出料凸缘v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224025-06-01-03出料凸缘v1.dxf,ok,,J0224025-06-01-03出料凸缘v1.dwg,训练图纸
J0224025-06-01-03出料凸缘v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224025-06-01-03出料凸缘v2.dxf,ok,,J0224025-06-01-03出料凸缘v2.dwg,训练图纸
J0224036-10搅拌减速机机罩v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224036-10搅拌减速机机罩v1.dxf,ok,,J0224036-10搅拌减速机机罩v1.dwg,训练图纸
J0224036-10搅拌减速机机罩v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224036-10搅拌减速机机罩v2.dxf,ok,,J0224036-10搅拌减速机机罩v2.dwg,训练图纸
J0224036-12真空组件v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224036-12真空组件v1.dxf,ok,,J0224036-12真空组件v1.dwg,训练图纸
J0224036-12真空组件v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224036-12真空组件v2.dxf,ok,,J0224036-12真空组件v2.dwg,训练图纸
J0224070-04-07捕集口v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224070-04-07捕集口v1.dxf,ok,,J0224070-04-07捕集口v1.dwg,训练图纸
J0224070-04-07捕集口v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224070-04-07捕集口v2.dxf,ok,,J0224070-04-07捕集口v2.dwg,训练图纸
J0224071-11-02过滤芯组件v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224071-11-02过滤芯组件v1.dxf,ok,,J0224071-11-02过滤芯组件v1.dwg,训练图纸
J0224071-11-02过滤芯组件v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224071-11-02过滤芯组件v2.dxf,ok,,J0224071-11-02过滤芯组件v2.dwg,训练图纸
J0224071-11捕集器组件v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224071-11捕集器组件v1.dxf,ok,,J0224071-11捕集器组件v1.dwg,训练图纸
J0224071-11捕集器组件v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224071-11捕集器组件v2.dxf,ok,,J0224071-11捕集器组件v2.dwg,训练图纸
J0225001-09-04旋转组件v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225001-09-04旋转组件v1.dxf,ok,,J0225001-09-04旋转组件v1.dwg,训练图纸
J0225001-09-04旋转组件v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225001-09-04旋转组件v2.dxf,ok,,J0225001-09-04旋转组件v2.dwg,训练图纸
J0225004-04-04轴头组件v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225004-04-04轴头组件v1.dxf,ok,,J0225004-04-04轴头组件v1.dwg,训练图纸
J0225004-04-04轴头组件v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225004-04-04轴头组件v2.dxf,ok,,J0225004-04-04轴头组件v2.dwg,训练图纸
J0225004-04-05下封板v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225004-04-05下封板v1.dxf,ok,,J0225004-04-05下封板v1.dwg,训练图纸
J0225004-04-05下封板v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225004-04-05下封板v2.dxf,ok,,J0225004-04-05下封板v2.dwg,训练图纸
J0225004-04搅拌桨组件v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225004-04搅拌桨组件v1.dxf,ok,,J0225004-04搅拌桨组件v1.dwg,训练图纸
J0225004-04搅拌桨组件v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225004-04搅拌桨组件v2.dxf,ok,,J0225004-04搅拌桨组件v2.dwg,训练图纸
J0225004-08搅拌轴组件v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225004-08搅拌轴组件v1.dxf,ok,,J0225004-08搅拌轴组件v1.dwg,训练图纸
J0225004-08搅拌轴组件v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225004-08搅拌轴组件v2.dxf,ok,,J0225004-08搅拌轴组件v2.dwg,训练图纸
J0225009-04-03阀体v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225009-04-03阀体v1.dxf,ok,,J0225009-04-03阀体v1.dwg,训练图纸
J0225009-04-03阀体v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225009-04-03阀体v2.dxf,ok,,J0225009-04-03阀体v2.dwg,训练图纸
J0225034-05罐体部分v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225034-05罐体部分v1.dxf,ok,,J0225034-05罐体部分v1.dwg,训练图纸
J0225034-05罐体部分v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225034-05罐体部分v2.dxf,ok,,J0225034-05罐体部分v2.dwg,训练图纸
J0225047-04罐体部分v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225047-04罐体部分v1.dxf,ok,,J0225047-04罐体部分v1.dwg,训练图纸
