label_cn,total,correct,accuracy,top2_accuracy,share
other,13,13,1.000,1.000,0.591
短轴承座(盖),2,0,0.000,0.000,0.091
扭转弹簧,1,0,0.000,0.000,0.045
罐体部分,1,0,0.000,1.000,0.045
过滤托架,1,0,0.000,0.000,0.045
下锥体组件,1,0,0.000,0.000,0.045
上封头组件,2,0,0.000,0.000,0.091
调节螺栓,1,0,0.000,0.000,0.045
__overall__,22,13,0.591,0.636,1.000
