label,count,share,avg_confidence
moderate_component,13,0.260,0.600
complex_assembly,10,0.200,0.550
盖,6,0.120,0.900
装配图,5,0.100,0.752
机械制图,5,0.100,0.920
蜗杆,2,0.040,0.900
底板,2,0.040,0.900
轴承,2,0.040,0.900
模板,2,0.040,0.573
箱体,1,0.020,0.900
支腿,1,0.020,0.900
罩,1,0.020,0.900
