label,count,share,avg_confidence
上筒体组件,3,0.100,0.850
盖,3,0.100,0.900
防爆视灯组件,2,0.067,0.850
底板,2,0.067,0.875
下封板,2,0.067,0.850
对接法兰,2,0.067,0.850
人孔,2,0.067,0.850
捕集器组件,1,0.033,0.850
超声波法兰,1,0.033,0.850
阀体,1,0.033,0.850
轴承座,1,0.033,0.850
下轴承支架组件,1,0.033,0.850
挡板,1,0.033,0.900
箱体,1,0.033,0.900
搅拌减速机机罩,1,0.033,0.850
旋转组件,1,0.033,0.850
下筒体组件,1,0.033,0.850
轴头组件,1,0.033,0.850
拖车,1,0.033,0.850
再沸器,1,0.033,0.850
支腿,1,0.033,0.900
