file,cleaned_label,edgesage_label,cleaned_confidence,edgesage_confidence
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224070-04-07捕集口v2.dxf,传动件,传动件,0.17720255255699158,0.2471213936805725
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224071-11-02过滤芯组件v1.dxf,传动件,传动件,0.18248730897903442,0.20482386648654938
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224071-11-02过滤芯组件v2.dxf,传动件,传动件,0.18248730897903442,0.20482386648654938
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224071-11捕集器组件v1.dxf,传动件,传动件,0.17710326611995697,0.17409475147724152
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224071-11捕集器组件v2.dxf,传动件,传动件,0.1771039217710495,0.1740940511226654
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225001-09-04旋转组件v1.dxf,传动件,传动件,0.19447572529315948,0.3100997805595398
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225001-09-04旋转组件v2.dxf,传动件,传动件,0.19447572529315948,0.3100997805595398
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225004-04-04轴头组件v1.dxf,传动件,传动件,0.17130689322948456,0.18977439403533936
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225004-04-04轴头组件v2.dxf,传动件,传动件,0.17130689322948456,0.18977439403533936
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225004-04-05下封板v1.dxf,传动件,传动件,0.17115037143230438,0.17400716245174408
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225004-04-05下封板v2.dxf,传动件,传动件,0.17115065455436707,0.17401057481765747
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225004-04搅拌桨组件v1.dxf,传动件,传动件,0.18897037208080292,0.20166358351707458
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225004-04搅拌桨组件v2.dxf,传动件,传动件,0.18897037208080292,0.20166358351707458
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225004-08搅拌轴组件v1.dxf,传动件,传动件,0.1725798100233078,0.253682941198349
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225004-08搅拌轴组件v2.dxf,传动件,传动件,0.1725798100233078,0.253682941198349
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225009-04-03阀体v1.dxf,传动件,传动件,0.17024536430835724,0.23423533141613007
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225009-04-03阀体v2.dxf,传动件,传动件,0.17024536430835724,0.23423533141613007
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225034-05罐体部分v1.dxf,罐体,传动件,0.1757885366678238,0.27582889795303345
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225034-05罐体部分v2.dxf,罐体,传动件,0.1757885366678238,0.27582889795303345
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225047-04罐体部分v1.dxf,传动件,传动件,0.16477756202220917,0.20596162974834442
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225047-04罐体部分v2.dxf,传动件,传动件,0.16477756202220917,0.20596162974834442
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225047-04罐体部分v3.dxf,传动件,传动件,0.16477756202220917,0.20596162974834442
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225048-02-07侧推料组件v1.dxf,传动件,传动件,0.18983401358127594,0.29546624422073364
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225048-02-07侧推料组件v2.dxf,传动件,传动件,0.18983401358127594,0.29546624422073364
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225054-15-01支承座v1.dxf,传动件,传动件,0.17943516373634338,0.17198002338409424
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225054-15-01支承座v2.dxf,传动件,传动件,0.1794220358133316,0.1719668060541153
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225054-15罐体支腿v1.dxf,传动件,传动件,0.18209630250930786,0.16825559735298157
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225054-15罐体支腿v2.dxf,传动件,传动件,0.18209630250930786,0.16825559735298157
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0525002-04-02过滤托架v1.dxf,传动件,传动件,0.17174099385738373,0.22655993700027466
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0525002-04-02过滤托架v2.dxf,传动件,传动件,0.17493124306201935,0.23031508922576904
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0525002-04-02过滤托架v3.dxf,传动件,传动件,0.17493124306201935,0.23031508922576904
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0525002-04-02过滤托架v4.dxf,传动件,传动件,0.17628008127212524,0.2310793101787567
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-01下锥体组件v1.dxf,传动件,传动件,0.17010797560214996,0.1609506607055664
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-01下锥体组件v2.dxf,传动件,传动件,0.17010827362537384,0.16095715761184692
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-01下锥体组件v3.dxf,传动件,传动件,0.17152456939220428,0.16568812727928162
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-02搅拌器组件v1.dxf,传动件,传动件,0.17082053422927856,0.19452163577079773
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-02搅拌器组件v2.dxf,传动件,传动件,0.17082570493221283,0.19452515244483948
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-05上封头组件v1.dxf,传动件,传动件,0.1721763163805008,0.1692250519990921
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-05上封头组件v2.dxf,传动件,传动件,0.1724771410226822,0.1694183349609375
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-05上封头组件v3.dxf,传动件,传动件,0.17248032987117767,0.1694212704896927
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J1424042-00出料正压隔离器v1.dxf,传动件,传动件,0.1662924438714981,0.1764194667339325
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J1424042-00出料正压隔离器v2-yuantus.dxf,传动件,传动件,0.1662924438714981,0.1764194667339325
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J1424042-51-01-08对接法兰v1.dxf,传动件,传动件,0.1785047948360443,0.24840785562992096
