file,part_type,confidence,graph2d_label,graph2d_confidence,confidence_source
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J3025001-12轴承座v2.dxf,轴承,0.900,零件图,0.33499079942703247,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0724006-05上封头组件v1.dxf,机械制图,0.900,装配图,0.7017190456390381,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ01231301522-00蜗轮蜗杆传动出料机构v1.dxf,蜗杆,0.900,机械制图,0.37718528509140015,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225001-09-04旋转组件v2.dxf,旋转组件,1.000,机械制图,0.402751624584198,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ02230301120-03保护罩组件v2.dxf,罩,0.900,零件图,0.3342086672782898,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ14240301522-00防爆视灯组件v2.dxf,complex_assembly,0.550,机械制图,0.35851287841796875,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ01230901522-00汽水分离器v1.dxf,支腿,0.900,机械制图,0.34137284755706787,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225054-15罐体支腿v2.dxf,支腿,0.900,机械制图,0.3971290588378906,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0224070-04-07捕集口v2.dxf,moderate_component,0.600,机械制图,0.3324905335903168,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225009-04-03阀体v1.dxf,complex_assembly,0.550,模板,0.572576642036438,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ01231101522-00自动进料装置v2.dxf,complex_assembly,0.550,机械制图,0.2883303165435791,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J2824002-06上封头组件v2.dxf,盖,0.900,机械制图,0.3854336738586426,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/LTJ012306102-0084调节螺栓v1.dxf,moderate_component,0.600,零件图,0.31967398524284363,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0224036-12真空组件v1.dxf,moderate_component,0.600,零件图,0.30433669686317444,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ01232801522-01电加热箱v2.dxf,箱体,0.900,机械制图,0.36205485463142395,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J2925001-05管束v2.dxf,complex_assembly,0.550,机械制图,0.3599429130554199,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J2825002-09下轴承支架组件v1.dxf,轴承,0.900,机械制图,0.3247826099395752,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0224036-12真空组件v2.dxf,moderate_component,0.600,零件图,0.3097745180130005,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0724006-01下锥体组件v1.dxf,机械制图,0.900,装配图,0.5433416366577148,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J3025001-12轴承座v1.dxf,轴承,0.900,零件图,0.33488935232162476,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225004-04搅拌桨组件v1.dxf,盖,0.900,机械制图,0.32500097155570984,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ01239601522-03扭转弹簧v1.dxf,moderate_component,0.600,零件图,0.33615466952323914,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/LTJ012306102-0084调节螺栓v2.dxf,moderate_component,0.600,零件图,0.2921505570411682,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0224036-10搅拌减速机机罩v2.dxf,罩,0.900,机械制图,0.3121349811553955,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J2925004-04-01底板v2.dxf,底板,0.900,机械制图,0.3431594669818878,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225034-05罐体部分v2.dxf,盖,0.900,装配图,0.44212448596954346,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ01231301522-01轴向定位轴承v1.dxf,轴承,0.900,零件图,0.28937801718711853,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/LTJ012303106-0030连接法兰(大)v1.dxf,moderate_component,0.600,机械制图,0.34890034794807434,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/LTJ012303106-0001超声波法兰v1.dxf,moderate_component,0.600,零件图,0.35084962844848633,rules
