label,count,share,avg_confidence
complex_assembly,40,0.364,0.550
moderate_component,33,0.300,0.600
机械制图,14,0.127,0.914
盖,10,0.091,0.900
挡板,5,0.045,0.900
旋转组件,2,0.018,0.900
支腿,2,0.018,0.900
箱体,2,0.018,0.900
底板,2,0.018,0.900
