label,count
complex_assembly,22
moderate_component,19
传动件,6
底板,4
挡板,5
支腿,4
旋转组件,4
机械制图,14
盖,11
箱体,2
罐体,4
罩,4
蜗杆,3
设备,2
轴承,6
