file,status,part_type,confidence,confidence_source,rule_version,graph2d_label,graph2d_confidence,fusion_label,fusion_confidence
/Users/huazhou/Downloads/训练图纸/训练图纸/J0225034-05罐体部分v1.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,other,0.3453086018562317,Standard_Part,0.6000000000000001
/Users/huazhou/Downloads/训练图纸/训练图纸/J2925001-00再沸器v1.dxf,ok,其他,0.900,fusion,L2-Fusion-v1,再沸器,0.9484979510307312,再沸器,0.9484979510307312
