suggested_label_cn,count
盖,3
圆柱滚子轴承,2
装配图,2
轴类,2
零件轴改,2
上摆臂,1
中摆臂,1
副本,1
原理图,1
夹具主体座,1
工件图,1
底板,1
技术文件,1
数据图,1
机械制图,1
板类,1
泵,1
简化标题栏表格,1
蜗杆,1
蜗轮蜗杆,1
角钢,1
轴承座,1
零件八,1
零件六,1
