file_name,output_path,status,error,relative_path,source_dir
机械制图32.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图32.dxf,ok,,CAD机械零件图纸127个/5/机械制图32.dwg,机械CAD图纸
机械制图33.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图33.dxf,ok,,CAD机械零件图纸127个/5/机械制图33.dwg,机械CAD图纸
机械制图34.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图34.dxf,ok,,CAD机械零件图纸127个/5/机械制图34.dwg,机械CAD图纸
机械制图21.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图21.dxf,exists,,CAD机械零件图纸127个/6/机械制图21.dwg,机械CAD图纸
机械制图22.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图22.dxf,exists,,CAD机械零件图纸127个/6/机械制图22.dwg,机械CAD图纸
机械制图23.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图23.dxf,exists,,CAD机械零件图纸127个/6/机械制图23.dwg,机械CAD图纸
机械制图24.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图24.dxf,exists,,CAD机械零件图纸127个/6/机械制图24.dwg,机械CAD图纸
机械制图25.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图25.dxf,exists,,CAD机械零件图纸127个/6/机械制图25.dwg,机械CAD图纸
机械制图26.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图26.dxf,exists,,CAD机械零件图纸127个/6/机械制图26.dwg,机械CAD图纸
机械制图27.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图27.dxf,exists,,CAD机械零件图纸127个/6/机械制图27.dwg,机械CAD图纸
机械制图28.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图28.dxf,exists,,CAD机械零件图纸127个/7/机械制图28.dwg,机械CAD图纸
机械制图29.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图29.dxf,exists,,CAD机械零件图纸127个/7/机械制图29.dwg,机械CAD图纸
机械制图30.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图30.dxf,exists,,CAD机械零件图纸127个/7/机械制图30.dwg,机械CAD图纸
机械制图31.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图31.dxf,exists,,CAD机械零件图纸127个/7/机械制图31.dwg,机械CAD图纸
机械制图32.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图32.dxf,exists,,CAD机械零件图纸127个/7/机械制图32.dwg,机械CAD图纸
机械制图33.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图33.dxf,exists,,CAD机械零件图纸127个/7/机械制图33.dwg,机械CAD图纸
机械制图34.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图34.dxf,exists,,CAD机械零件图纸127个/7/机械制图34.dwg,机械CAD图纸
机械制图35.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图35.dxf,ok,,CAD机械零件图纸127个/8/机械制图35.dwg,机械CAD图纸
