file,status,part_type,confidence,confidence_source,rule_version,graph2d_label,graph2d_confidence,graph2d_temperature,graph2d_temperature_source,filename_label,filename_confidence,filename_match_type,filename_extracted_name,hybrid_label,hybrid_confidence,hybrid_source,hybrid_path,titleblock_label,titleblock_confidence,titleblock_part_name,titleblock_drawing_number,titleblock_material,titleblock_raw_texts_count,titleblock_region_entities_count,fusion_label,fusion_confidence,soft_override_eligible,soft_override_label,soft_override_confidence,soft_override_threshold,soft_override_reason
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J2825002-06上筒体组件v2.dxf,ok,complex_assembly,0.550,rules,v1,机械制图,0.293935090303421,1.0,,上筒体组件,0.95,exact,上筒体组件,上筒体组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,Standard_Part,0.55,True,机械制图,0.293935090303421,0.17,eligible
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ01231301522-00蜗轮蜗杆传动出料机构v1.dxf,ok,蜗杆,0.900,fusion,L2-Fusion-v1,机械制图,0.3548223078250885,1.0,,蜗轮蜗杆传动出料机构,0.95,exact,蜗轮蜗杆传动出料机构,蜗轮蜗杆传动出料机构,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,Standard_Part,0.6000000000000001,False,机械制图,0.3548223078250885,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0224014-09液压开盖组件v2.dxf,ok,底板,0.900,fusion,L2-Fusion-v1,机械制图,0.2962149679660797,1.0,,液压开盖组件,0.95,exact,液压开盖组件,液压开盖组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,Standard_Part,0.6000000000000001,False,机械制图,0.2962149679660797,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ01231501522-00短轴承座(盖)v3.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,机械制图,0.3206463158130646,1.0,,短轴承座(盖),0.95,exact,短轴承座(盖),短轴承座(盖),0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,Standard_Part,0.6000000000000001,False,机械制图,0.3206463158130646,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225047-04罐体部分v3.dxf,ok,挡板,0.900,fusion,L2-Fusion-v1,机械制图,0.34899789094924927,1.0,,罐体部分,0.95,exact,罐体部分,罐体部分,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,Standard_Part,0.6000000000000001,False,机械制图,0.34899789094924927,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J1424042-51-01-08对接法兰v1.dxf,ok,moderate_component,0.600,rules,v1,机械制图,0.34668412804603577,1.0,,对接法兰,0.95,exact,对接法兰,对接法兰,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,Standard_Part,0.55,True,机械制图,0.34668412804603577,0.17,eligible
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225034-05罐体部分v1.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,机械制图,0.3216812014579773,1.0,,罐体部分,0.95,exact,罐体部分,罐体部分,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,Standard_Part,0.6000000000000001,False,机械制图,0.3216812014579773,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0224014-09液压开盖组件v1.dxf,ok,底板,0.900,fusion,L2-Fusion-v1,机械制图,0.2962149679660797,1.0,,液压开盖组件,0.95,exact,液压开盖组件,液压开盖组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,Standard_Part,0.6000000000000001,False,机械制图,0.2962149679660797,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0724006-02搅拌器组件v1.dxf,ok,机械制图,1.000,fusion,L2-Fusion-v1,机械制图,0.3391095697879791,1.0,,搅拌器组件,0.95,exact,搅拌器组件,搅拌器组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,Standard_Part,0.6000000000000001,False,机械制图,0.3391095697879791,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225001-09-04旋转组件v2.dxf,ok,旋转组件,1.000,fusion,L2-Fusion-v1,机械制图,0.39577755331993103,1.0,,旋转组件,0.95,exact,旋转组件,旋转组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,Standard_Part,0.55,False,机械制图,0.39577755331993103,0.17,confidence_source_not_rules
