file,cleaned_label,logit_adjusted_label,cleaned_confidence,logit_adjusted_confidence
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2825003-05下筒体组件v1.dxf,传动件,轴承件,0.16892817616462708,0.14819255471229553
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J3025001-12轴承座v2.dxf,传动件,轴承件,0.1774151772260666,0.1404174417257309
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-05上封头组件v1.dxf,传动件,轴承件,0.1721763163805008,0.1423499435186386
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231301522-00蜗轮蜗杆传动出料机构v1.dxf,传动件,设备,0.16631469130516052,0.13240833580493927
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225001-09-04旋转组件v2.dxf,传动件,传动件,0.19447572529315948,0.14234107732772827
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ02230301120-03保护罩组件v2.dxf,传动件,轴承件,0.16980984807014465,0.1392809897661209
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ14240301522-00防爆视灯组件v2.dxf,设备,轴承件,0.15408271551132202,0.13642916083335876
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01230901522-00汽水分离器v1.dxf,设备,设备,0.16438499093055725,0.13964422047138214
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225054-15罐体支腿v2.dxf,传动件,轴承件,0.18209630250930786,0.1427377164363861
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224071-11-02过滤芯组件v1.dxf,传动件,轴承件,0.18248730897903442,0.1405959278345108
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224070-04-07捕集口v2.dxf,传动件,轴承件,0.17720255255699158,0.13735318183898926
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225009-04-03阀体v1.dxf,传动件,轴承件,0.17024536430835724,0.1333063393831253
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0525002-04-02过滤托架v2.dxf,传动件,过滤组件,0.17493124306201935,0.13444635272026062
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231101522-00自动进料装置v2.dxf,传动件,设备,0.17459173500537872,0.14145098626613617
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-02搅拌器组件v1.dxf,传动件,轴承件,0.17082053422927856,0.13579532504081726
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2824002-06上封头组件v2.dxf,传动件,轴承件,0.16919666528701782,0.13415977358818054
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/LTJ012306102-0084调节螺栓v1.dxf,传动件,轴承件,0.1749850958585739,0.1377246379852295
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224036-12真空组件v1.dxf,传动件,轴承件,0.175741046667099,0.1334010511636734
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01232801522-01电加热箱v2.dxf,传动件,传动件,0.18580427765846252,0.1340932995080948
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2925001-05管束v2.dxf,传动件,轴承件,0.1692141592502594,0.13390736281871796
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2825002-09下轴承支架组件v1.dxf,传动件,轴承件,0.17359651625156403,0.14260612428188324
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224036-12真空组件v2.dxf,传动件,轴承件,0.17646090686321259,0.13424833118915558
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-01下锥体组件v1.dxf,传动件,轴承件,0.17010797560214996,0.1429155319929123
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J3025001-12轴承座v1.dxf,传动件,轴承件,0.1774381697177887,0.1403670310974121
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225004-04搅拌桨组件v1.dxf,传动件,轴承件,0.18897037208080292,0.14341163635253906
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01239601522-03扭转弹簧v1.dxf,传动件,轴承件,0.1734861433506012,0.14020369946956635
