file,part_type,confidence,confidence_source,rule_version,fine_part_type,fine_confidence,fine_source,part_classifier_status,part_classifier_label,part_classifier_confidence,part_classifier_provider,part_classifier_error,part_family,part_family_confidence,part_family_source,part_family_model_version,part_family_needs_review,part_family_review_reason,part_family_top2,part_family_error_code,part_family_error_message
ACAD-布局空白_布局1.dxf,simple_plate,0.6,rules,v1,,,,ok,连接件,0.7389905452728271,v16,,连接件,0.7389905452728271,provider:v16,v16_fast,True,置信度(73.9%)低于阈值(85%),"{""label"": ""其他"", ""confidence"": 0.2249094694852829}",,
布局空白 DXF.dxf,simple_plate,0.6,rules,v1,,,,ok,其他,0.6059867143630981,v16,,其他,0.6059867143630981,provider:v16,v16_fast,True,置信度(60.6%)低于阈值(85%),"{""label"": ""连接件"", ""confidence"": 0.38205182552337646}",,
J0225034-05罐体部分v1.dxf,盖,0.9,fusion,L2-Fusion-v1,,,,ok,壳体类,0.8949294686317444,v16,,壳体类,0.8949294686317444,provider:v16,v16_fast,True,已知边界案例(壳体类/其他),"{""label"": ""其他"", ""confidence"": 0.05536101385951042}",,
J2925001-00再沸器v1.dxf,其他,0.9,fusion,L2-Fusion-v1,,,,ok,其他,0.9160376787185669,v16,,其他,0.9160376787185669,provider:v16,v16_fast,False,,"{""label"": ""连接件"", ""confidence"": 0.0522812157869339}",,
BTJ01239601522-03扭转弹簧v1.dxf,moderate_component,0.6,rules,v1,,,,ok,其他,0.9256546497344971,v16,,其他,0.9256546497344971,provider:v16,v16_fast,False,,"{""label"": ""轴类"", ""confidence"": 0.049647435545921326}",,
ACAD-布局空白 DXF-2013.dxf,simple_plate,0.6,rules,v1,,,,ok,其他,0.6059867143630981,v16,,其他,0.6059867143630981,provider:v16,v16_fast,True,置信度(60.6%)低于阈值(85%),"{""label"": ""连接件"", ""confidence"": 0.38205182552337646}",,
