file,part_type,confidence,confidence_source,rule_version,fine_part_type,fine_confidence,fine_source,part_classifier_status,part_classifier_label,part_classifier_confidence,part_classifier_provider,part_classifier_error,part_family,part_family_confidence,part_family_source,part_family_model_version,part_family_needs_review,part_family_review_reason,part_family_top2,part_family_error_code,part_family_error_message
比较_LTJ012306102-0084调节螺栓v1 vs LTJ012306102-0084调节螺栓v2.dxf,moderate_component,0.6,rules,v1,,,,ok,其他,0.7402060031890869,v16,,其他,0.7402060031890869,provider:v16,v16_fast,True,置信度(74.0%)低于阈值(85%),"{""label"": ""连接件"", ""confidence"": 0.1439266800880432}",,
J0225047-04罐体部分v1.dxf,挡板,0.9,fusion,L2-Fusion-v1,,,,ok,壳体类,0.8969881534576416,v16,,壳体类,0.8969881534576416,provider:v16,v16_fast,False,,"{""label"": ""连接件"", ""confidence"": 0.04600222408771515}",,
J0225047-04罐体部分v2.dxf,挡板,0.9,fusion,L2-Fusion-v1,,,,ok,壳体类,0.9011461138725281,v16,,壳体类,0.9011461138725281,provider:v16,v16_fast,False,,"{""label"": ""连接件"", ""confidence"": 0.04454561322927475}",,
J0225034-05罐体部分v1.dxf,盖,0.9,fusion,L2-Fusion-v1,,,,ok,壳体类,0.8949294686317444,v16,,壳体类,0.8949294686317444,provider:v16,v16_fast,True,已知边界案例(壳体类/其他),"{""label"": ""其他"", ""confidence"": 0.05536101385951042}",,
J2825003-05下筒体组件v1.dxf,complex_assembly,0.55,rules,v1,,,,ok,连接件,0.5716217756271362,v16,,连接件,0.5716217756271362,provider:v16,v16_fast,True,置信度(57.2%)低于阈值(85%),"{""label"": ""其他"", ""confidence"": 0.4059225916862488}",,
J3025001-12轴承座v2.dxf,轴承,0.9,fusion,L2-Fusion-v1,,,,ok,轴类,0.9865648746490479,v16,,轴类,0.9865648746490479,provider:v16,v16_fast,False,,"{""label"": ""其他"", ""confidence"": 0.005230398382991552}",,
J0724006-05上封头组件v1.dxf,机械制图,0.9,fusion,L2-Fusion-v1,,,,ok,其他,0.9646450281143188,v16,,其他,0.9646450281143188,provider:v16,v16_fast,True,已知边界案例(其他/壳体类),"{""label"": ""壳体类"", ""confidence"": 0.011593792587518692}",,
BTJ01231301522-00蜗轮蜗杆传动出料机构v1.dxf,蜗杆,0.9,fusion,L2-Fusion-v1,,,,ok,其他,0.9590243697166443,v16,,其他,0.9590243697166443,provider:v16,v16_fast,False,,"{""label"": ""连接件"", ""confidence"": 0.0166672021150589}",,
J0225001-09-04旋转组件v2.dxf,旋转组件,1.0,fusion,L2-Fusion-v1,,,,ok,其他,0.8887826204299927,v16,,其他,0.8887826204299927,provider:v16,v16_fast,False,,"{""label"": ""连接件"", ""confidence"": 0.05214564502239227}",,
BTJ02230301120-03保护罩组件v2.dxf,罩,0.9,fusion,L2-Fusion-v1,,,,ok,轴类,0.5456069707870483,v16,,轴类,0.5456069707870483,provider:v16,v16_fast,True,置信度(54.6%)低于阈值(85%),"{""label"": ""其他"", ""confidence"": 0.36541977524757385}",,
BTJ14240301522-00防爆视灯组件v2.dxf,complex_assembly,0.55,rules,v1,,,,ok,其他,0.9608876705169678,v16,,其他,0.9608876705169678,provider:v16,v16_fast,False,,"{""label"": ""轴类"", ""confidence"": 0.012988421134650707}",,
BTJ01230901522-00汽水分离器v1.dxf,支腿,0.9,fusion,L2-Fusion-v1,,,,ok,连接件,0.5611531138420105,v16,,连接件,0.5611531138420105,provider:v16,v16_fast,True,置信度(56.1%)低于阈值(85%),"{""label"": ""其他"", ""confidence"": 0.3819125294685364}",,
J0225054-15罐体支腿v2.dxf,支腿,0.9,fusion,L2-Fusion-v1,,,,ok,轴类,0.6556794047355652,v16,,轴类,0.6556794047355652,provider:v16,v16_fast,True,置信度(65.6%)低于阈值(85%),"{""label"": ""壳体类"", ""confidence"": 0.26304274797439575}",,
J0224071-11-02过滤芯组件v1.dxf,机械制图,0.9,fusion,L2-Fusion-v1,,,,ok,其他,0.9317566156387329,v16,,其他,0.9317566156387329,provider:v16,v16_fast,False,,"{""label"": ""轴类"", ""confidence"": 0.0433209054172039}",,
J0224070-04-07捕集口v2.dxf,moderate_component,0.6,rules,v1,,,,ok,其他,0.9601629972457886,v16,,其他,0.9601629972457886,provider:v16,v16_fast,False,,"{""label"": ""传动件"", ""confidence"": 0.015511056408286095}",,
J0225009-04-03阀体v1.dxf,complex_assembly,0.55,rules,v1,,,,ok,连接件,0.6542491316795349,v16,,连接件,0.6542491316795349,provider:v16,v16_fast,True,置信度(65.4%)低于阈值(85%),"{""label"": ""壳体类"", ""confidence"": 0.28177717328071594}",,
J0525002-04-02过滤托架v2.dxf,机械制图,0.9,fusion,L2-Fusion-v1,,,,ok,其他,0.7565605044364929,v16,,其他,0.7565605044364929,provider:v16,v16_fast,True,置信度(75.7%)低于阈值(85%),"{""label"": ""连接件"", ""confidence"": 0.20036105811595917}",,
