label,count,share,avg_confidence
moderate_component,13,0.260,0.600
complex_assembly,12,0.240,0.550
机械制图,8,0.160,0.913
盖,6,0.120,0.900
蜗杆,2,0.040,0.900
再沸器,2,0.040,0.934
底板,2,0.040,0.900
轴承,2,0.040,0.900
箱体,1,0.020,0.900
支腿,1,0.020,0.900
罩,1,0.020,0.900
