file,status,part_type,confidence,confidence_source,rule_version,graph2d_label,graph2d_confidence,graph2d_temperature,graph2d_temperature_source,graph2d_is_drawing_type,graph2d_ensemble_enabled,graph2d_ensemble_size,graph2d_voting,filename_label,filename_confidence,filename_match_type,filename_extracted_name,hybrid_label,hybrid_confidence,hybrid_source,hybrid_path,titleblock_label,titleblock_confidence,titleblock_status,titleblock_part_name,titleblock_drawing_number,titleblock_material,titleblock_raw_texts_count,titleblock_region_entities_count,fusion_label,fusion_confidence,soft_override_eligible,soft_override_label,soft_override_confidence,soft_override_threshold,soft_override_reason
J0724006-05上封头组件v2.dxf,ok,上封头组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,上封头组件,0.95,exact,上封头组件,上封头组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,上封头组件,0.85,matched,上封头组件,J0724006-05,组合件,45,45,,,,,,,
J0724006-01下锥体组件v3.dxf,ok,下锥体组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,下锥体组件,0.95,exact,下锥体组件,下锥体组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,下锥体组件,0.85,matched,下锥体组件,J0724006-01,组合件,80,80,,,,,,,
J0224036-10搅拌减速机机罩v1.dxf,ok,罩,0.900,fusion,L2-Fusion-v1,,,,,,,,,搅拌减速机机罩,0.95,exact,搅拌减速机机罩,搅拌减速机机罩,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,搅拌减速机机罩,0.85,matched,搅拌减速机机罩,J0224036-10,组合件,62,62,,,,,,,
J0225048-02-07侧推料组件v1.dxf,ok,侧推料组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,侧推料组件,0.95,exact,侧推料组件,侧推料组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,侧推料组件,0.85,matched,侧推料组件,J0225048-02-07,组合件,86,86,,,,,,,
J0224070-04-07捕集口v2.dxf,ok,捕集口,0.950,hybrid,HybridClassifier-v1,,,,,,,,,捕集口,0.95,exact,捕集口,捕集口,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,捕集口,0.85,matched,捕集口,J0224070-04-07,组焊件,31,31,,,,,,,
J0525002-04-02过滤托架v3.dxf,ok,过滤托架,0.950,hybrid,HybridClassifier-v1,,,,,,,,,过滤托架,0.95,exact,过滤托架,过滤托架,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,过滤托架,0.85,matched,过滤托架,J0525002-04-02,组焊件,50,50,,,,,,,
BTJ01239901522-00拖轮组件v1.dxf,ok,拖轮组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,拖轮组件,0.95,exact,拖轮组件,拖轮组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,拖轮组件,0.85,matched,拖轮组件,BTJ01239901522-00,组件,48,48,,,,,,,
J0224014-09液压开盖组件v1.dxf,ok,底板,0.900,fusion,L2-Fusion-v1,,,,,,,,,液压开盖组件,0.95,exact,液压开盖组件,液压开盖组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,液压开盖组件,0.85,matched,液压开盖组件,J0224014-09,组合件,53,53,,,,,,,
BTJ01239601522-03扭转弹簧v2.dxf,ok,扭转弹簧,0.950,hybrid,HybridClassifier-v1,,,,,,,,,扭转弹簧,0.95,exact,扭转弹簧,扭转弹簧,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,扭转弹簧,0.85,matched,扭转弹簧,BTJ01239601522-03,S31603,7,7,,,,,,,
J0224071-11捕集器组件v1.dxf,ok,捕集器组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,捕集器组件,0.95,exact,捕集器组件,捕集器组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,捕集器组件,0.85,matched,捕集器组件,J0224071-11,组合件,72,72,,,,,,,
BTJ01231301522-01轴向定位轴承v2.dxf,ok,轴承,0.900,fusion,L2-Fusion-v1,,,,,,,,,轴向定位轴承,0.95,exact,轴向定位轴承,轴向定位轴承,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,轴向定位轴承,0.85,matched,轴向定位轴承,BTJ01231301522-01,组合件,28,28,,,,,,,
BTJ01239601522-03扭转弹簧v3.dxf,ok,扭转弹簧,0.950,hybrid,HybridClassifier-v1,,,,,,,,,扭转弹簧,0.95,exact,扭转弹簧,扭转弹簧,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,扭转弹簧,0.85,matched,扭转弹簧,BTJ01239601522-03,S31603,7,7,,,,,,,
J0525002-04-02过滤托架v2.dxf,ok,过滤托架,0.950,hybrid,HybridClassifier-v1,,,,,,,,,过滤托架,0.95,exact,过滤托架,过滤托架,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,过滤托架,0.85,matched,过滤托架,J0525002-04-02,组焊件,50,50,,,,,,,
J0225034-05罐体部分v1.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,,,,,,,,,罐体部分,0.95,exact,罐体部分,罐体部分,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,罐体部分,0.85,matched,罐体部分,J0225034-05,组合件,271,271,,,,,,,
J2925004-04-01底板v2.dxf,ok,底板,0.900,fusion,L2-Fusion-v1,,,,,,,,,底板,0.95,exact,底板,底板,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,底板,0.85,matched,底板,J2925004-04-01,S30408,8,8,,,,,,,
J0224025-06-01-03出料凸缘v1.dxf,ok,出料凸缘,0.950,hybrid,HybridClassifier-v1,,,,,,,,,出料凸缘,0.95,exact,出料凸缘,出料凸缘,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,出料凸缘,0.85,matched,出料凸缘,J0224025-06-01-03,组焊件,12,12,,,,,,,
BTJ01231501522-00短轴承座(盖)v3.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,,,,,,,,,短轴承座(盖),0.95,exact,短轴承座(盖),短轴承座(盖),0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,短轴承座(盖),0.85,matched,短轴承座(盖),BTJ01231501522-00,HT200,15,15,,,,,,,
J0724006-01下锥体组件v2.dxf,ok,下锥体组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,下锥体组件,0.95,exact,下锥体组件,下锥体组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,下锥体组件,0.85,matched,下锥体组件,J0724006-01,组合件,66,66,,,,,,,
BTJ02230301120-03保护罩组件v1.dxf,ok,罩,0.900,fusion,L2-Fusion-v1,,,,,,,,,保护罩组件,0.95,exact,保护罩组件,保护罩组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,保护罩组件,0.85,matched,保护罩组件,BTJ02230301120-03,组合件,26,26,,,,,,,
BTJ01231301522-00蜗轮蜗杆传动出料机构v1.dxf,ok,蜗杆,0.900,fusion,L2-Fusion-v1,,,,,,,,,蜗轮蜗杆传动出料机构,0.95,exact,蜗轮蜗杆传动出料机构,蜗轮蜗杆传动出料机构,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,蜗轮蜗杆传动出料机构,0.85,matched,蜗轮蜗杆传动出料机构,BTJ01231301522-00,组合件,57,57,,,,,,,
BTJ01231501522-00短轴承座(盖)v1.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,,,,,,,,,短轴承座(盖),0.95,exact,短轴承座(盖),短轴承座(盖),0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,短轴承座(盖),0.85,matched,小轴承座(盖),BTJ01231501522-00,HT200,17,17,,,,,,,
LTJ012303106-0030连接法兰(大)v2.dxf,ok,连接法兰(大),0.950,hybrid,HybridClassifier-v1,,,,,,,,,连接法兰(大),0.95,exact,连接法兰(大),连接法兰(大),0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,连接法兰(大),0.85,matched,连接法兰(大),LTJ012303106-0030,S31603Ⅱ,8,8,,,,,,,
J2825002-06上筒体组件v3.dxf,ok,上筒体组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,上筒体组件,0.95,exact,上筒体组件,上筒体组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,上筒体组件,0.85,matched,上筒体组件,J2825002-06,组合件,39,39,,,,,,,
J0224036-10搅拌减速机机罩v2.dxf,ok,罩,0.900,fusion,L2-Fusion-v1,,,,,,,,,搅拌减速机机罩,0.95,exact,搅拌减速机机罩,搅拌减速机机罩,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,搅拌减速机机罩,0.85,matched,搅拌减速机机罩,J0224036-10,组合件,62,62,,,,,,,
BTJ14240301522-00防爆视灯组件v2.dxf,ok,防爆视灯组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,防爆视灯组件,0.95,exact,防爆视灯组件,防爆视灯组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,防爆视灯组件,0.85,matched,防爆视灯组件,BTJ14240301522-00,组合件,36,36,,,,,,,
J2925001-00再沸器v1.dxf,ok,再沸器,0.950,hybrid,HybridClassifier-v1,,,,,,,,,再沸器,0.95,exact,再沸器,再沸器,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,再沸器,0.85,matched,再沸器,J2925001-00,S30408,183,183,,,,,,,
J0525002-04-02过滤托架v4.dxf,ok,过滤托架,0.950,hybrid,HybridClassifier-v1,,,,,,,,,过滤托架,0.95,exact,过滤托架,过滤托架,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,过滤托架,0.85,matched,过滤托架,J0525002-04-02,组焊件,50,50,,,,,,,
LTJ012303106-0001超声波法兰v1.dxf,ok,超声波法兰,0.950,hybrid,HybridClassifier-v1,,,,,,,,,超声波法兰,0.95,exact,超声波法兰,超声波法兰,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,超声波法兰,0.85,matched,超声波法兰,LTJ012303106-0001,S31603Ⅱ,8,8,,,,,,,
J3025001-12轴承座v1.dxf,ok,轴承,0.900,fusion,L2-Fusion-v1,,,,,,,,,轴承座,0.95,exact,轴承座,轴承座,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,轴承座,0.85,matched,轴承座,J3025001-12,组合件,9,9,,,,,,,
J0224070-04-07捕集口v1.dxf,ok,捕集口,0.950,hybrid,HybridClassifier-v1,,,,,,,,,捕集口,0.95,exact,捕集口,捕集口,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,捕集口,0.85,matched,捕集口,J0224070-04-07,组焊件,23,23,,,,,,,
J0724006-05上封头组件v3.dxf,ok,上封头组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,上封头组件,0.95,exact,上封头组件,上封头组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,上封头组件,0.85,matched,上封头组件,J0724006-05,组合件,48,48,,,,,,,
J0225004-08搅拌轴组件v1.dxf,ok,旋转组件,0.900,fusion,L2-Fusion-v1,,,,,,,,,搅拌轴组件,0.95,exact,搅拌轴组件,搅拌轴组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,搅拌轴组件,0.85,matched,搅拌轴组件,J0225004-08,组合件,51,51,,,,,,,
J0225034-05罐体部分v2.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,,,,,,,,,罐体部分,0.95,exact,罐体部分,罐体部分,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,罐体部分,0.85,matched,罐体部分,J0225034-05,组合件,271,271,,,,,,,
BTJ01231101522-00自动进料装置v2.dxf,ok,自动进料装置,0.950,hybrid,HybridClassifier-v1,,,,,,,,,自动进料装置,0.95,exact,自动进料装置,自动进料装置,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,自动进料装置,0.85,matched,自动进料装置,BTJ01231101522-00,组合件,77,77,,,,,,,
