file,status,part_type,confidence,confidence_source,rule_version,graph2d_label,graph2d_confidence,fusion_label,fusion_confidence
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231201522-00拖车DN1500v2.dxf,ok,complex_assembly,0.550,rules,v1,other,0.80750972032547,Standard_Part,0.55
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231101522-00自动进料装置v1.dxf,ok,complex_assembly,0.550,rules,v1,other,0.7257333397865295,Standard_Part,0.6000000000000001
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225048-02-07侧推料组件v1.dxf,ok,complex_assembly,0.550,rules,v1,other,0.8136475682258606,Standard_Part,0.55
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J1424042-51-01-08对接法兰v2.dxf,ok,moderate_component,0.600,rules,v1,other,0.6451581716537476,Standard_Part,0.55
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2825002-06上筒体组件v1.dxf,ok,complex_assembly,0.550,rules,v1,other,0.5519624948501587,Standard_Part,0.55
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224071-11捕集器组件v1.dxf,ok,complex_assembly,0.550,rules,v1,other,0.725382924079895,Standard_Part,0.55
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/比较_LTJ012306102-0084调节螺栓v1 vs LTJ012306102-0084调节螺栓v2.dxf,ok,moderate_component,0.600,rules,v1,other,0.6455601453781128,Standard_Part,0.55
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2825003-05下筒体组件v1.dxf,ok,complex_assembly,0.550,rules,v1,other,0.7737830281257629,Standard_Part,0.55
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ14240301522-00防爆视灯组件v2.dxf,ok,complex_assembly,0.550,rules,v1,other,0.5661928057670593,Standard_Part,0.55
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224070-04-07捕集口v2.dxf,ok,moderate_component,0.600,rules,v1,other,0.8187277913093567,Standard_Part,0.55
